"Notes","Category","LastUpdated","Name","ScriptName","Version"
"","KeyWorks","2023-11-14","KeyWorksKeyHelp_ActiveX_Remediation","KeyWorksKeyHelp_ActiveX_Remediation.ps1","1.0"
"","Microsoft_XML_Parser_Remediation","2023-12-18","Microsoft_XML_Parser_Remediation","Microsoft_XML_Parser_Remediation.ps1","1.0"
"","Nessus","2024-09-23","Change_svcNessus_passwd","Change_svcNessus_passwd.ps1","1.0"
"","Nessus","2024-09-23","Create_svcNessus_User","Create_svcNessus_User.ps1","1.0"
"","Nessus","2024-09-23","disable_UAC_prompt","disable_UAC_prompt.ps1","1.0"
"","Nessus","2024-09-25","Get_Nessus_Version","Get_Nessus_Version.ps1","1.0"
"","Nessus","2024-09-23","Nessus_Install_Config","Nessus_Install_Config.ps1","1.0"
"","Nessus","2024-09-23","refresh-license-and-update-all","refresh-license-and-update-all.ps1","1.0"
"","Nessus","2024-09-23","refresh-license","refresh-license.ps1","1.0"
"","Nessus","2024-09-23","Set-WmiNamespaceSecurity","Set-WmiNamespaceSecurity.ps1","1.0"
"","Nessus","2024-09-23","svcNessus_Domain_Setup","svcNessus_Domain_Setup.ps1","1.0"
"","Nessus","2024-09-23","svcNessus_ready_check","svcNessus_ready_check.ps1","1.0"
"","Nessus","2024-09-23","update_nessus_offline_with_url","update_nessus_offline_with_url.ps1","1.0"
"","Nessus","2024-09-23","Update_Nessus_Offline","Update_Nessus_Offline.ps1","1.0"
"","Nessus","2024-09-23","update-plugins","update-plugins.ps1","1.0"
"","nvidia-update","2023-08-31","nvidia","nvidia.ps1","1.0"
"","Powershell","2025-03-03","7zip_Install_Or_Update","7zip_Install_Or_Update.ps1","1.0"
"","Powershell","2025-03-03","Apache_Log4j_CVE-2021-44228-and-45046","Apache_Log4j_CVE-2021-44228-and-45046.ps1","1.0"
"","Powershell","2025-03-03","Apache_Log4j_Remediation","Apache_Log4j_Remediation.ps1","1.0"
"","Powershell","2025-03-03","Apache_Log4j_Scan","Apache_Log4j_Scan.ps1","1.0"
"","Powershell","2025-03-03","AutoDesk_IDrop_Remediation","AutoDesk_IDrop_Remediation.ps1","1.0"
"","Powershell","2025-03-03","Change_MSOffice_Update_Channel","Change_MSOffice_Update_Channel.ps1","1.0"
"","Powershell","2025-03-03","Change_Windows_Background","Change_Windows_Background.ps1","1.0"
"","Powershell","2025-03-03","Check_Office_Update_Channel","Check_Office_Update_Channel.ps1","1.0"
"","Powershell","2025-03-03","Choco_install_win_updates","Choco_install_win_updates.ps1","1.0"
"","Powershell","2025-03-03","Create_Registry_Backup","Create_Registry_Backup.ps1","1.0"
"","Powershell","2025-03-03","Detect_Expired_User_Cert","Detect_Expired_User_Cert.ps1","1.0"
"","Powershell","2025-03-07","Detect_Open_Ports","Detect_Open_Ports.ps1","1.0"
"","Powershell","2025-03-03","Detect_stale_gpo","Detect_stale_gpo.ps1","1.0"
"","Powershell","2025-03-07","DFIR_Script","DFIR_Script.ps1","1.0"
"","Powershell","2025-03-03","disable_office_activeX","disable_office_activeX.ps1","1.0"
"","Powershell","2025-03-03","Disable_Windows_Sidebar","Disable_Windows_Sidebar.ps1","1.0"
"","Powershell","2025-03-03","DisableSSL_EnableTLS","DisableSSL_EnableTLS.ps1","1.0"
"","Powershell","2025-03-03","Enable_Cert_Padding","Enable_Cert_Padding.ps1","1.0"
"","Powershell","2025-03-03","Enable_internet_explorer11","Enable_internet_explorer11.ps1","1.0"
